PC1,PC2,PC3,Cluster
-0.0305625427768582,-0.0835724647476817,-0.0528299157541981,1
-0.0470284083823041,-0.0805355488900689,-0.0452006089692641,1
0.911342776017876,0.1147249411463648,-0.0745483941535537,2
0.014415965137333,-0.1949076409652012,0.3470114888315222,0
-0.0535580096693479,-0.1095679898854985,-0.0557477331157457,1
-0.0563353774624332,-0.043727363125265,-0.0351070946479587,1
-0.0648807208286235,-0.107855864951664,-0.3377411270107265,1
0.0221610972009375,-0.1859950847182922,0.2539739055269936,0
-0.0177281020600537,-0.0746530869158882,-0.0819485918998929,1
-0.116467526484924,0.3089764032806448,0.0337187641831814,3
0.0345521187327926,-0.131024565884773,0.1683538963273444,0
-0.024733799831494,0.0051411886845032,-0.0408373975168902,1
-0.1099333014323415,0.2692612552139558,0.0543385396979797,3
0.0141145218160674,-0.195040800854148,0.1406849324527335,0
0.0035659195211002,-0.1404211223884463,0.0137530838242909,1
-0.0735984094498537,0.2226987091370806,0.0437126083158638,3
-0.0509590867596279,-0.1426083976268934,-0.0501941121759495,1
0.0461237279579937,-0.1575270830755669,0.1216526680416642,0
-0.0345465241020754,-0.0237865012279365,-0.0218224619669488,1
-0.0818777919048722,0.2489007694257614,0.055523267905733,3
-0.0432906500247139,-0.1143430416928293,-0.0915091948442557,1
-0.0401221683460885,-0.0179592817367004,-0.1341593717621813,1
-0.0473908769813536,-0.0324729716095818,-0.0273296077858857,1
-0.0373317415634164,-0.0845071658637935,-0.0869539111968159,1
-0.0725657753011208,0.2680954219908974,0.0143696912356525,3
-0.0616839860682647,-0.071328978889694,-0.2923895725920633,1
-0.0384189492059742,-0.1238869005282717,-0.0332134354487609,1
-0.0196017354214908,-0.0987083604131549,0.0087451191525862,1
-0.0676568271277274,-0.1090362086562585,-0.3870397159231066,1
0.0396652876167028,-0.2020819152019805,0.3129083740649797,0
0.0141136523193875,-0.1211159812577451,0.224280994746616,0
-0.0464563988195589,-0.0794278231257001,-0.209261541066592,1
-0.0375197418537695,-0.0202840502310525,0.0370520725627751,1
-0.0923890743545886,0.2164208671244707,0.0322595123994642,3
-0.0114687579908456,-0.1156535556362396,0.2485863374082589,0
-0.086750226240031,0.0861906692133913,-0.0085667822386856,1
-0.0614583906987304,-0.079569653313111,-0.1203705616496335,1
-0.0435469760430327,-0.0617155721828036,-0.1060634019242348,1
-0.0361897995682574,-0.0390452186018867,-0.0377330098106123,1
-0.0394358874940071,-0.1153493538170556,-0.0840467302120571,1
-0.051260167157076,-0.0395398349485138,-0.0186319301423162,1
-0.0455986611332378,-0.0199499165226439,0.0693872274364235,1
-0.0168716272498442,-0.0328252395233021,-0.0268142642128842,1
0.9039283258206736,0.1138926204186399,-0.0835180790896433,2
-0.0588073893479649,-0.0405234094348614,-0.0898929442119624,1
-0.0457838416816339,0.0450174406551375,-0.0225146509429202,1
-0.1192351599894098,0.523425305410306,0.1554099323745367,3
-0.0265126081150324,-0.0255432693652485,0.0188255254133313,1
-0.0355161879200999,-0.1004644747863799,-0.0868541963471665,1
-0.0666502663990164,0.0325289138564298,-0.0322432631083499,1
-0.061232014482947,-0.0900052433999975,0.029953445617119,1
-0.0610357245695461,-0.0502963923152995,-0.0330651086368544,1
0.902094953864032,0.1138899082030531,-0.0709755278633606,2
-0.0158801681977123,0.0001541257746587,-0.0120196290422227,1
