PC1,PC2,PC3
-0.03056254277685827,-0.08357246474768178,-0.052829915754198105
-0.04702840838230414,-0.08053554889006892,-0.04520060896926415
0.911342776017876,0.11472494114636482,-0.07454839415355374
0.014415965137333031,-0.19490764096520125,0.3470114888315222
-0.053558009669347977,-0.10956798988549857,-0.05574773311574573
-0.05633537746243329,-0.043727363125265005,-0.035107094647958734
-0.06488072082862359,-0.10785586495166401,-0.33774112701072656
0.022161097200937535,-0.18599508471829226,0.2539739055269936
-0.017728102060053718,-0.07465308691588825,-0.0819485918998929
-0.11646752648492406,0.3089764032806448,0.033718764183181434
0.03455211873279265,-0.13102456588477301,0.16835389632734443
-0.02473379983149406,0.00514118868450321,-0.040837397516890216
-0.10993330143234153,0.2692612552139558,0.05433853969797972
0.014114521816067491,-0.19504080085414807,0.14068493245273359
0.0035659195211002934,-0.1404211223884463,0.01375308382429096
-0.07359840944985373,0.22269870913708067,0.04371260831586386
-0.05095908675962795,-0.1426083976268934,-0.050194112175949594
0.04612372795799378,-0.15752708307556693,0.12165266804166427
-0.03454652410207541,-0.02378650122793657,-0.021822461966948897
-0.08187779190487224,0.2489007694257614,0.05552326790573308
-0.043290650024713974,-0.11434304169282931,-0.09150919484425578
-0.04012216834608855,-0.01795928173670043,-0.13415937176218137
-0.047390876981353615,-0.03247297160958189,-0.027329607785885793
-0.037331741563416405,-0.08450716586379355,-0.08695391119681599
-0.0725657753011208,0.2680954219908974,0.014369691235652533
-0.06168398606826472,-0.07132897888969401,-0.29238957259206333
-0.03841894920597428,-0.12388690052827174,-0.033213435448760965
-0.019601735421490855,-0.09870836041315492,0.008745119152586266
-0.06765682712772746,-0.1090362086562585,-0.38703971592310665
0.039665287616702884,-0.2020819152019805,0.31290837406497973
0.014113652319387557,-0.12111598125774511,0.224280994746616
-0.04645639881955896,-0.0794278231257001,-0.209261541066592
-0.03751974185376951,-0.020284050231052574,0.03705207256277514
-0.0923890743545886,0.21642086712447078,0.03225951239946426
-0.011468757990845667,-0.11565355563623966,0.2485863374082589
-0.08675022624003109,0.08619066921339133,-0.008566782238685606
-0.061458390698730415,-0.07956965331311106,-0.12037056164963357
-0.043546976043032724,-0.06171557218280364,-0.10606340192423482
-0.03618979956825744,-0.03904521860188674,-0.0377330098106123
-0.03943588749400717,-0.11534935381705565,-0.08404673021205716
-0.05126016715707602,-0.039539834948513874,-0.01863193014231623
